arquivo,estado_predito,estado_real
004500.jpg,POSTURA_RUIM,POSTURA_RUIM
004501.jpg,POSTURA_RUIM,POSTURA_RUIM
004502.jpg,POSTURA_RUIM,POSTURA_RUIM
004503.jpg,POSTURA_RUIM,POSTURA_RUIM
004504.jpg,POSTURA_RUIM,POSTURA_RUIM
004505.jpg,POSTURA_RUIM,POSTURA_RUIM
004506.jpg,POSTURA_RUIM,POSTURA_RUIM
004507.jpg,POSTURA_RUIM,POSTURA_RUIM
004508.jpg,POSTURA_RUIM,POSTURA_RUIM
004509.jpg,POSTURA_RUIM,POSTURA_RUIM
005540.jpg,POSTURA_RUIM,POSTURA_RUIM
005541.jpg,POSTURA_RUIM,POSTURA_RUIM
005542.jpg,POSTURA_RUIM,POSTURA_RUIM
005543.jpg,POSTURA_RUIM,POSTURA_RUIM
005544.jpg,POSTURA_RUIM,POSTURA_RUIM
005545.jpg,POSTURA_RUIM,POSTURA_RUIM
005546.jpg,POSTURA_RUIM,POSTURA_RUIM
005547.jpg,POSTURA_RUIM,POSTURA_RUIM
005548.jpg,POSTURA_RUIM,POSTURA_RUIM
005549.jpg,POSTURA_RUIM,POSTURA_RUIM
005556.jpg,POSTURA_RUIM,POSTURA_RUIM
005557.jpg,POSTURA_RUIM,POSTURA_RUIM
005558.jpg,POSTURA_RUIM,POSTURA_RUIM
005559.jpg,POSTURA_RUIM,POSTURA_RUIM
005560.jpg,POSTURA_RUIM,POSTURA_RUIM
005561.jpg,POSTURA_RUIM,POSTURA_RUIM
005562.jpg,POSTURA_RUIM,POSTURA_RUIM
005572.jpg,POSTURA_RUIM,POSTURA_RUIM
005573.jpg,POSTURA_RUIM,POSTURA_RUIM
005574.jpg,POSTURA_RUIM,POSTURA_RUIM
005575.jpg,POSTURA_RUIM,POSTURA_RUIM
005576.jpg,POSTURA_RUIM,POSTURA_RUIM
005582.jpg,POSTURA_RUIM,POSTURA_RUIM
005583.jpg,POSTURA_RUIM,POSTURA_RUIM
005584.jpg,POSTURA_RUIM,POSTURA_RUIM
005585.jpg,POSTURA_RUIM,POSTURA_RUIM
005586.jpg,POSTURA_RUIM,POSTURA_RUIM
005587.jpg,POSTURA_RUIM,POSTURA_RUIM
005588.jpg,POSTURA_RUIM,POSTURA_RUIM
005589.jpg,POSTURA_RUIM,POSTURA_RUIM
005590.jpg,POSTURA_RUIM,POSTURA_RUIM
005591.jpg,POSTURA_RUIM,POSTURA_RUIM
005592.jpg,POSTURA_RUIM,POSTURA_RUIM
005593.jpg,POSTURA_RUIM,POSTURA_RUIM
005600.jpg,POSTURA_RUIM,POSTURA_RUIM
005601.jpg,POSTURA_RUIM,POSTURA_RUIM
005602.jpg,POSTURA_RUIM,POSTURA_RUIM
005603.jpg,POSTURA_RUIM,POSTURA_RUIM
005604.jpg,POSTURA_RUIM,POSTURA_RUIM
006484.jpg,POSTURA_RUIM,POSTURA_RUIM
006485.jpg,POSTURA_RUIM,POSTURA_RUIM
006486.jpg,POSTURA_RUIM,POSTURA_RUIM
006487.jpg,POSTURA_RUIM,POSTURA_RUIM
006488.jpg,POSTURA_RUIM,POSTURA_RUIM
006489.jpg,POSTURA_RUIM,POSTURA_RUIM
006490.jpg,POSTURA_RUIM,POSTURA_RUIM
006491.jpg,POSTURA_RUIM,POSTURA_RUIM
006492.jpg,POSTURA_RUIM,POSTURA_RUIM
006493.jpg,POSTURA_RUIM,POSTURA_RUIM
006514.jpg,POSTURA_RUIM,POSTURA_RUIM
006515.jpg,POSTURA_RUIM,POSTURA_RUIM
006516.jpg,POSTURA_RUIM,POSTURA_RUIM
006517.jpg,POSTURA_RUIM,POSTURA_RUIM
006518.jpg,POSTURA_RUIM,POSTURA_RUIM
006519.jpg,POSTURA_RUIM,POSTURA_RUIM
006520.jpg,POSTURA_RUIM,POSTURA_RUIM
006521.jpg,POSTURA_RUIM,NAO_DETECTADO
006522.jpg,POSTURA_RUIM,NAO_DETECTADO
006523.jpg,POSTURA_RUIM,NAO_DETECTADO
006559.jpg,POSTURA_RUIM,NAO_DETECTADO
006560.jpg,POSTURA_RUIM,NAO_DETECTADO
006561.jpg,POSTURA_RUIM,NAO_DETECTADO
006562.jpg,POSTURA_RUIM,NAO_DETECTADO
006563.jpg,POSTURA_RUIM,NAO_DETECTADO
006564.jpg,POSTURA_RUIM,NAO_DETECTADO
006565.jpg,POSTURA_RUIM,NAO_DETECTADO
006566.jpg,POSTURA_RUIM,NAO_DETECTADO
006567.jpg,POSTURA_RUIM,NAO_DETECTADO
006568.jpg,POSTURA_RUIM,NAO_DETECTADO
007714.jpg,POSTURA_RUIM,NAO_DETECTADO
007715.jpg,POSTURA_RUIM,NAO_DETECTADO
007716.jpg,POSTURA_RUIM,NAO_DETECTADO
007717.jpg,POSTURA_RUIM,NAO_DETECTADO
007718.jpg,POSTURA_RUIM,NAO_DETECTADO
007719.jpg,POSTURA_RUIM,NAO_DETECTADO
007720.jpg,POSTURA_RUIM,NAO_DETECTADO
007721.jpg,POSTURA_RUIM,NAO_DETECTADO
007722.jpg,POSTURA_RUIM,NAO_DETECTADO
007732.jpg,POSTURA_RUIM,NAO_DETECTADO
007733.jpg,POSTURA_RUIM,NAO_DETECTADO
007734.jpg,POSTURA_RUIM,NAO_DETECTADO
007735.jpg,POSTURA_RUIM,NAO_DETECTADO
007736.jpg,POSTURA_RUIM,NAO_DETECTADO
007790.jpg,POSTURA_RUIM,NAO_DETECTADO
007791.jpg,POSTURA_RUIM,NAO_DETECTADO
007792.jpg,POSTURA_RUIM,NAO_DETECTADO
007793.jpg,POSTURA_RUIM,NAO_DETECTADO
007794.jpg,POSTURA_RUIM,NAO_DETECTADO
007795.jpg,POSTURA_RUIM,NAO_DETECTADO
007796.jpg,POSTURA_RUIM,NAO_DETECTADO
007797.jpg,POSTURA_RUIM,NAO_DETECTADO
007798.jpg,POSTURA_RUIM,NAO_DETECTADO
007799.jpg,POSTURA_RUIM,NAO_DETECTADO
007958.jpg,POSTURA_RUIM,NAO_DETECTADO
007959.jpg,POSTURA_RUIM,NAO_DETECTADO
007960.jpg,POSTURA_RUIM,NAO_DETECTADO
007961.jpg,POSTURA_RUIM,NAO_DETECTADO
007962.jpg,POSTURA_RUIM,NAO_DETECTADO
008092.jpg,POSTURA_RUIM,NAO_DETECTADO
008093.jpg,POSTURA_RUIM,NAO_DETECTADO
008094.jpg,POSTURA_RUIM,NAO_DETECTADO
008095.jpg,POSTURA_RUIM,NAO_DETECTADO
008096.jpg,POSTURA_RUIM,NAO_DETECTADO
008113.jpg,POSTURA_RUIM,NAO_DETECTADO
008114.jpg,POSTURA_RUIM,NAO_DETECTADO
008115.jpg,POSTURA_RUIM,NAO_DETECTADO
008116.jpg,POSTURA_RUIM,NAO_DETECTADO
008117.jpg,POSTURA_RUIM,NAO_DETECTADO
008140.jpg,POSTURA_RUIM,NAO_DETECTADO
008141.jpg,POSTURA_RUIM,NAO_DETECTADO
008142.jpg,POSTURA_RUIM,NAO_DETECTADO
008143.jpg,POSTURA_RUIM,NAO_DETECTADO
008144.jpg,POSTURA_RUIM,NAO_DETECTADO
008211.jpg,POSTURA_RUIM,NAO_DETECTADO
008212.jpg,POSTURA_RUIM,NAO_DETECTADO
008213.jpg,POSTURA_RUIM,NAO_DETECTADO
008214.jpg,POSTURA_RUIM,NAO_DETECTADO
008215.jpg,POSTURA_RUIM,NAO_DETECTADO
008216.jpg,POSTURA_RUIM,NAO_DETECTADO
008217.jpg,POSTURA_RUIM,NAO_DETECTADO
008413.jpg,POSTURA_RUIM,POSTURA_RUIM
008414.jpg,POSTURA_RUIM,POSTURA_RUIM
008415.jpg,POSTURA_RUIM,POSTURA_RUIM
008416.jpg,POSTURA_RUIM,POSTURA_RUIM
008417.jpg,POSTURA_RUIM,POSTURA_RUIM
008418.jpg,POSTURA_RUIM,POSTURA_RUIM
008419.jpg,POSTURA_RUIM,POSTURA_RUIM
008420.jpg,POSTURA_RUIM,POSTURA_RUIM
008421.jpg,POSTURA_RUIM,POSTURA_RUIM
008422.jpg,POSTURA_RUIM,POSTURA_RUIM
008492.jpg,POSTURA_RUIM,POSTURA_RUIM
008493.jpg,POSTURA_RUIM,POSTURA_RUIM
008494.jpg,POSTURA_RUIM,POSTURA_RUIM
008495.jpg,POSTURA_RUIM,POSTURA_RUIM
008496.jpg,POSTURA_RUIM,POSTURA_RUIM
008497.jpg,POSTURA_RUIM,POSTURA_RUIM
008498.jpg,POSTURA_RUIM,POSTURA_RUIM
008499.jpg,POSTURA_RUIM,POSTURA_RUIM
008500.jpg,POSTURA_RUIM,POSTURA_RUIM
008501.jpg,POSTURA_RUIM,POSTURA_RUIM
008700.jpg,POSTURA_RUIM,POSTURA_RUIM
008701.jpg,POSTURA_RUIM,POSTURA_RUIM
008702.jpg,POSTURA_RUIM,POSTURA_RUIM
008703.jpg,POSTURA_RUIM,POSTURA_RUIM
008704.jpg,POSTURA_RUIM,POSTURA_RUIM
008705.jpg,POSTURA_RUIM,POSTURA_RUIM
008706.jpg,POSTURA_RUIM,POSTURA_RUIM
008707.jpg,POSTURA_RUIM,POSTURA_RUIM
008708.jpg,POSTURA_RUIM,NAO_DETECTADO
008709.jpg,POSTURA_RUIM,NAO_DETECTADO
008776.jpg,POSTURA_RUIM,NAO_DETECTADO
008777.jpg,POSTURA_RUIM,NAO_DETECTADO
008778.jpg,POSTURA_RUIM,NAO_DETECTADO
008779.jpg,POSTURA_RUIM,NAO_DETECTADO
008780.jpg,POSTURA_RUIM,NAO_DETECTADO
008836.jpg,POSTURA_RUIM,NAO_DETECTADO
008837.jpg,POSTURA_RUIM,NAO_DETECTADO
008838.jpg,POSTURA_RUIM,NAO_DETECTADO
008839.jpg,POSTURA_RUIM,NAO_DETECTADO
008840.jpg,POSTURA_RUIM,NAO_DETECTADO
008841.jpg,POSTURA_RUIM,NAO_DETECTADO
008842.jpg,POSTURA_RUIM,NAO_DETECTADO
008843.jpg,POSTURA_RUIM,NAO_DETECTADO
008844.jpg,POSTURA_RUIM,NAO_DETECTADO
008859.jpg,POSTURA_RUIM,NAO_DETECTADO
008860.jpg,POSTURA_RUIM,NAO_DETECTADO
008861.jpg,POSTURA_RUIM,NAO_DETECTADO
008862.jpg,POSTURA_RUIM,NAO_DETECTADO
008863.jpg,POSTURA_RUIM,NAO_DETECTADO
008946.jpg,POSTURA_RUIM,NAO_DETECTADO
008947.jpg,POSTURA_RUIM,NAO_DETECTADO
008948.jpg,POSTURA_RUIM,NAO_DETECTADO
008949.jpg,POSTURA_RUIM,NAO_DETECTADO
008950.jpg,POSTURA_RUIM,NAO_DETECTADO
008960.jpg,POSTURA_RUIM,NAO_DETECTADO
008961.jpg,POSTURA_RUIM,NAO_DETECTADO
008962.jpg,POSTURA_RUIM,NAO_DETECTADO
008963.jpg,POSTURA_RUIM,NAO_DETECTADO
008964.jpg,POSTURA_RUIM,NAO_DETECTADO
008965.jpg,POSTURA_RUIM,NAO_DETECTADO
009491.jpg,POSTURA_RUIM,NAO_DETECTADO
009492.jpg,POSTURA_RUIM,NAO_DETECTADO
009493.jpg,POSTURA_RUIM,NAO_DETECTADO
009494.jpg,POSTURA_RUIM,NAO_DETECTADO
009495.jpg,POSTURA_RUIM,NAO_DETECTADO
009496.jpg,POSTURA_RUIM,NAO_DETECTADO
009497.jpg,POSTURA_RUIM,NAO_DETECTADO
009498.jpg,POSTURA_RUIM,NAO_DETECTADO
009499.jpg,POSTURA_RUIM,NAO_DETECTADO
009500.jpg,POSTURA_RUIM,NAO_DETECTADO
009555.jpg,POSTURA_RUIM,NAO_DETECTADO
009556.jpg,POSTURA_RUIM,NAO_DETECTADO
009557.jpg,POSTURA_RUIM,NAO_DETECTADO
009558.jpg,POSTURA_RUIM,NAO_DETECTADO
009559.jpg,POSTURA_RUIM,NAO_DETECTADO
009560.jpg,POSTURA_RUIM,NAO_DETECTADO
009561.jpg,POSTURA_RUIM,NAO_DETECTADO
009562.jpg,POSTURA_RUIM,NAO_DETECTADO
009563.jpg,POSTURA_RUIM,NAO_DETECTADO
009564.jpg,POSTURA_RUIM,NAO_DETECTADO
009565.jpg,POSTURA_RUIM,NAO_DETECTADO
009566.jpg,POSTURA_RUIM,NAO_DETECTADO
009572.jpg,POSTURA_RUIM,NAO_DETECTADO
009573.jpg,POSTURA_RUIM,NAO_DETECTADO
009574.jpg,POSTURA_RUIM,NAO_DETECTADO
009575.jpg,POSTURA_RUIM,NAO_DETECTADO
009576.jpg,POSTURA_RUIM,NAO_DETECTADO
009587.jpg,POSTURA_RUIM,NAO_DETECTADO
009588.jpg,POSTURA_RUIM,NAO_DETECTADO
009589.jpg,POSTURA_RUIM,NAO_DETECTADO
009590.jpg,POSTURA_RUIM,NAO_DETECTADO
009591.jpg,POSTURA_RUIM,NAO_DETECTADO
009592.jpg,POSTURA_RUIM,NAO_DETECTADO
009593.jpg,POSTURA_RUIM,NAO_DETECTADO
009594.jpg,POSTURA_RUIM,NAO_DETECTADO
009668.jpg,POSTURA_RUIM,NAO_DETECTADO
009669.jpg,POSTURA_RUIM,NAO_DETECTADO
009670.jpg,POSTURA_RUIM,NAO_DETECTADO
009671.jpg,POSTURA_RUIM,NAO_DETECTADO
009672.jpg,POSTURA_RUIM,NAO_DETECTADO
009673.jpg,POSTURA_RUIM,NAO_DETECTADO
009674.jpg,POSTURA_RUIM,NAO_DETECTADO
009675.jpg,POSTURA_RUIM,NAO_DETECTADO
009676.jpg,POSTURA_RUIM,NAO_DETECTADO
009677.jpg,POSTURA_RUIM,NAO_DETECTADO
009678.jpg,POSTURA_RUIM,NAO_DETECTADO
009679.jpg,POSTURA_RUIM,NAO_DETECTADO
009883.jpg,POSTURA_RUIM,POSTURA_RUIM
009884.jpg,POSTURA_RUIM,POSTURA_RUIM
009885.jpg,POSTURA_RUIM,POSTURA_RUIM
009886.jpg,POSTURA_RUIM,POSTURA_RUIM
009887.jpg,POSTURA_RUIM,POSTURA_RUIM
009888.jpg,POSTURA_RUIM,POSTURA_RUIM
009889.jpg,POSTURA_RUIM,POSTURA_RUIM
009890.jpg,POSTURA_RUIM,POSTURA_RUIM
009891.jpg,POSTURA_RUIM,POSTURA_RUIM
009892.jpg,POSTURA_RUIM,POSTURA_RUIM
011451.jpg,POSTURA_RUIM,POSTURA_RUIM
011452.jpg,POSTURA_RUIM,POSTURA_RUIM
011453.jpg,POSTURA_RUIM,POSTURA_RUIM
011454.jpg,POSTURA_RUIM,POSTURA_RUIM
011455.jpg,POSTURA_RUIM,POSTURA_RUIM
011461.jpg,POSTURA_RUIM,POSTURA_RUIM
011462.jpg,POSTURA_RUIM,POSTURA_RUIM
011463.jpg,POSTURA_RUIM,POSTURA_RUIM
011464.jpg,POSTURA_RUIM,POSTURA_RUIM
011465.jpg,POSTURA_RUIM,POSTURA_RUIM
012342.jpg,POSTURA_RUIM,POSTURA_RUIM
012343.jpg,POSTURA_RUIM,POSTURA_RUIM
012344.jpg,POSTURA_RUIM,POSTURA_RUIM
012345.jpg,POSTURA_RUIM,POSTURA_RUIM
012346.jpg,POSTURA_RUIM,POSTURA_RUIM
013810.jpg,POSTURA_RUIM,POSTURA_RUIM
013811.jpg,POSTURA_RUIM,POSTURA_RUIM
013812.jpg,POSTURA_RUIM,POSTURA_RUIM
013813.jpg,POSTURA_RUIM,POSTURA_RUIM
013814.jpg,POSTURA_RUIM,POSTURA_RUIM
013922.jpg,POSTURA_RUIM,POSTURA_RUIM
013923.jpg,POSTURA_RUIM,POSTURA_RUIM
013924.jpg,POSTURA_RUIM,POSTURA_RUIM
013925.jpg,POSTURA_RUIM,POSTURA_RUIM
013926.jpg,POSTURA_RUIM,POSTURA_RUIM
013950.jpg,POSTURA_RUIM,POSTURA_RUIM
013951.jpg,POSTURA_RUIM,POSTURA_RUIM
013952.jpg,POSTURA_RUIM,POSTURA_RUIM
013953.jpg,POSTURA_RUIM,POSTURA_RUIM
013954.jpg,POSTURA_RUIM,POSTURA_RUIM
013955.jpg,POSTURA_RUIM,POSTURA_RUIM
015251.jpg,POSTURA_RUIM,CELULAR
015252.jpg,POSTURA_RUIM,CELULAR
015253.jpg,POSTURA_RUIM,CELULAR
015254.jpg,POSTURA_RUIM,CELULAR
015255.jpg,POSTURA_RUIM,CELULAR
015256.jpg,POSTURA_RUIM,CELULAR
015257.jpg,POSTURA_RUIM,CELULAR
015258.jpg,POSTURA_RUIM,CELULAR
016106.jpg,POSTURA_RUIM,POSTURA_RUIM
016107.jpg,POSTURA_RUIM,POSTURA_RUIM
016108.jpg,POSTURA_RUIM,POSTURA_RUIM
016109.jpg,POSTURA_RUIM,POSTURA_RUIM
016110.jpg,POSTURA_RUIM,POSTURA_RUIM
016111.jpg,POSTURA_RUIM,POSTURA_RUIM
017158.jpg,POSTURA_RUIM,POSTURA_RUIM
017159.jpg,POSTURA_RUIM,POSTURA_RUIM
017160.jpg,POSTURA_RUIM,POSTURA_RUIM
017161.jpg,POSTURA_RUIM,POSTURA_RUIM
017162.jpg,POSTURA_RUIM,POSTURA_RUIM
017187.jpg,POSTURA_RUIM,POSTURA_RUIM
017188.jpg,POSTURA_RUIM,CELULAR
017189.jpg,POSTURA_RUIM,CELULAR
017190.jpg,POSTURA_RUIM,CELULAR
017191.jpg,POSTURA_RUIM,CELULAR
018413.jpg,POSTURA_RUIM,POSTURA_RUIM
018414.jpg,POSTURA_RUIM,POSTURA_RUIM
018415.jpg,POSTURA_RUIM,POSTURA_RUIM
018416.jpg,POSTURA_RUIM,POSTURA_RUIM
018417.jpg,POSTURA_RUIM,POSTURA_RUIM
018418.jpg,POSTURA_RUIM,POSTURA_RUIM
018419.jpg,POSTURA_RUIM,POSTURA_RUIM
018420.jpg,POSTURA_RUIM,POSTURA_RUIM
018421.jpg,POSTURA_RUIM,POSTURA_RUIM
018422.jpg,POSTURA_RUIM,POSTURA_RUIM
018433.jpg,POSTURA_RUIM,POSTURA_RUIM
018434.jpg,POSTURA_RUIM,POSTURA_RUIM
018435.jpg,POSTURA_RUIM,POSTURA_RUIM
018436.jpg,POSTURA_RUIM,POSTURA_RUIM
018437.jpg,POSTURA_RUIM,POSTURA_RUIM
018438.jpg,POSTURA_RUIM,POSTURA_RUIM
018439.jpg,POSTURA_RUIM,POSTURA_RUIM
018440.jpg,POSTURA_RUIM,POSTURA_RUIM
018441.jpg,POSTURA_RUIM,POSTURA_RUIM
018442.jpg,POSTURA_RUIM,POSTURA_RUIM
018443.jpg,POSTURA_RUIM,POSTURA_RUIM
018444.jpg,POSTURA_RUIM,POSTURA_RUIM
